is_number,year,revision,reaffirmed_year,status,title,division_council,sectional_committee,ics_code,is_qco_mandatory,qco_name,scheme
IS 694,2010,Fourth Revision,2020,ACTIVE,PVC Insulated Cables for Working Voltages up to and Including 1100 V - Specification,ETD (Electrotechnical Division Council),ETD 14 (Electrical Wiring Accessories),29.060.20,True,"Electrical Wires and Cables (Quality Control) Order, 2023",Scheme-I (ISI Mark)
IS 7098 (Part 1),1988,First Revision,2020,ACTIVE,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cables - Part 1: For Working Voltages up to and Including 1100 V,ETD,ETD 14,29.060.20,True,"Electrical Wires and Cables (Quality Control) Order, 2023",Scheme-I (ISI Mark)
IS 1180 (Part 1),2014,Second Revision,2021,ACTIVE,"Outdoor Type Oil Immersed Distribution Transformers up to and Including 2500 kVA, 33 kV - Specification",ETD,ETD 16 (Transformers),29.180,True,Distribution Transformers (Quality Control) Order,Scheme-I (ISI Mark) + Mandatory BEE Star Rating
IS 456,2000,Fourth Revision,2021,ACTIVE,Plain and Reinforced Concrete - Code of Practice,CED (Civil Engineering Division Council),CED 2 (Cement and Concrete),91.100.30,False,National Building Code / Fundamental Structural Code,Standard Code of Practice
IS 1786,2008,Fourth Revision,2022,ACTIVE,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification,CED,CED 2 / MTD 4,77.140.15,True,Steel and Steel Products (Quality Control) Order,Scheme-I (ISI Mark) - Non-ISI prohibited from sale/procurement
IS 1489 (Part 1),2015,Third Revision,2020,ACTIVE,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,CED,CED 2,91.100.10,True,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark)
IS 14220,2018,First Revision,2023,ACTIVE,Submersible Pumpsets - Specification,MED (Mechanical Engineering Division Council),MED 20 (Pumps),23.080,True,Pumps for Agricultural and Industrial Applications (QCO),Scheme-I (ISI Mark) + BEE Star Labelling
IS 778,1984,Fourth Revision,2021,ACTIVE,"Copper Alloy Gate, Globe and Check Valves for Waterworks Purposes - Specification",MED,MED 17,23.060.01,True,Valves (Quality Control) Order,Scheme-I (ISI Mark)
IS 13252 (Part 1),2010,First Revision,2021,ACTIVE,Information Technology Equipment - Safety - Part 1: General Requirements (Adopted from IEC 60950-1),LITD (Electronics and Information Technology Division Council),LITD 8,35.020,True,Electronics and IT Goods (Requirement for Compulsory Registration) Order (CRO),Scheme-II (CRS - Compulsory Registration Scheme)
IS 10322 (Part 5/Sec 1),2012,First Revision,2022,ACTIVE,Luminaires - Part 5: Particular Requirements - Section 1: Fixed General Purpose Luminaires (LED Batten / Panel),LITD / ETD,LITD 13 / ETD 23,29.140.40,True,Solar and LED Lighting (Compulsory Registration) Order,Scheme-II (CRS)
IS 16391,2015,Original,2021,ACTIVE,Geotextiles - Polypropylene Multifilament Woven Geotextiles for Subgrade Stabilization in Pavement - Specification,TXD (Textiles Division Council),TXD 30 (Geotextiles),59.080.70,True,"Geo Textiles (Quality Control) Order, 2023",Scheme-I (ISI Mark)
